Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
68.0,guanacaste,nicoya,chorotega,urbana,plano,recta,06:00-11:59,1,invierno,pavimentada,buena,bueno,interseccion,9,6
144.0,guanacaste,nicoya,chorotega,rural,plano,curva,06:00-11:59,0,verano,no_pavimentada,buena,bueno,alcance,7,6
7.0,san josé,curridabat,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
2.0,heredia,san pablo,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,interseccion,9,9
156.0,san josé,pérez zeledón,brunca,urbana,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,7
0.0,cartago,cartago,central,urbana,pendiente,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
9.0,heredia,santo domingo,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,9
2.0,san josé,goicoechea,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,frontal,9,10
1.0,san josé,desamparados,central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,interseccion,9,10
0.0,san josé,pérez zeledón,brunca,rural,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,interseccion,9,7
26.0,alajuela,alajuela,central,urbana,pendiente,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
97.0,limón,siquirres,huetar caribe,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,7
45.0,alajuela,atenas,central,rural,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,6
32.0,alajuela,alajuela,central,urbana,plano,recta,12:00-17:59,1,invierno,pavimentada,buena,lluvia,frontal,9,10
8.0,san josé,dota,central,rural,pendiente,curva,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,2
0.0,san josé,curridabat,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
31.0,limón,pococí,huetar caribe,rural,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,frontal,9,6
